season,league_key,pick,round,team_key,team_name,manager_name,manager_guid,player_key,player_name,position,nfl_team,cost,is_keeper
2022,,1,,,Surrender Your Booty,,,,Joe Mixon,RB,Hou,53,False
2022,,2,,,The Verticoli,,,,Jonathan Taylor,RB,Ind,72,False
2022,,3,,,Josh Jacobs Jingl...,,,,Christian McCaffrey,RB,SF,69,False
2022,,4,,,Josh Jacobs Jingl...,,,,Derrick Henry,RB,Bal,58,False
2022,,5,,,Scary Terry,,,,David Montgomery,RB,Hou,21,False
2022,,6,,,Team Mel,,,,CeeDee Lamb,WR,Dal,41,False
2022,,7,,,The Wet Bandits,,,,Aaron Jones Sr.,RB,Min,49,False
2022,,8,,,Team Mel,,,,Cooper Kupp,WR,Sea,61,False
2022,,9,,,Cobra Kyler,,,,Alvin Kamara,RB,NO,46,False
2022,,10,,,My3Sons,,,,Javonte Williams,RB,Dal,38,False
2022,,11,,,Surrender Your Booty,,,,Austin Ekeler,RB,Was,59,False
2022,,12,,,Dillon' Em Softly,,,,Saquon Barkley,RB,Phi,47,False
2022,,13,,,Waddle Waddle Wad...,,,,Josh Allen,QB,Buf,30,False
2022,,14,,,Team Mel,,,,Travis Kelce,TE,KC,37,False
2022,,15,,,Scary Terry,,,,Stefon Diggs,WR,NE,44,False
2022,,16,,,Running is exercise,,,,Darren Waller,TE,Mia,17,False
2022,,17,,,Cobra Kyler,,,,Devin Singletary,RB,NYG,12,False
2022,,18,,,Pop Lockett Drop It,,,,Najee Harris,RB,LAC,49,False
2022,,19,,,Waddle Waddle Wad...,,,,Ja'Marr Chase,WR,Cin,59,False
2022,,20,,,Pop Lockett Drop It,,,,Dalvin Cook,RB,Dal,58,False
2022,,21,,,My3Sons,,,,Davante Adams,WR,LAR,40,False
2022,,22,,,Running is exercise,,,,A.J. Brown,WR,NE,24,False
2022,,23,,,Running is exercise,,,,Elijah Mitchell,RB,Phi,24,False
2022,,24,,,The Verticoli,,,,Lamar Jackson,QB,Bal,21,False
2022,,25,,,Running is exercise,,,,Justin Herbert,QB,LAC,16,False
2022,,26,,,Team Mel,,,,Patrick Mahomes,QB,KC,20,False
2022,,27,,,Dillon' Em Softly,,,,D'Andre Swift,RB,Chi,51,False
2022,,28,,,The Verticoli,,,,Jalen Hurts,QB,Phi,13,False
